Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Posture
2023-10-02 01:27:44,-0.035,-0.9508,0.4257,28.02,3.97,-32.04,-13.0,63.83,23.96,side
2023-10-02 01:27:44,-0.1146,-1.005,0.3152,23.62,2.14,3.6,-13.55,62.24,26.27,side
2023-10-02 01:27:44,-0.1121,-0.8655,0.4022,-16.6,-24.17,0.24,-13.93,62.59,22.81,side
2023-10-02 01:27:44,-0.1116,-0.9093,0.3718,-45.9,-14.1,-4.7,-12.38,65.16,22.18,side
2023-10-02 01:27:44,-0.1255,-0.8496,0.4316,-27.34,-17.03,1.28,-11.65,64.47,19.73,side
2023-10-02 01:27:44,-0.0527,-0.9138,0.5039,41.69,18.86,19.53,-12.28,65.61,21.64,side
2023-10-02 01:27:44,0.0035,-0.969,0.2672,33.26,-1.1,-7.75,-1.71,54.16,42.52,side
2023-10-02 01:27:44,0.0018,-0.9683,0.2694,0.98,-2.01,0.12,-2.19,53.93,41.88,side
2023-10-02 01:27:44,0.0037,-0.9691,0.2681,1.22,-2.01,0.18,-2.09,54.46,41.64,side
2023-10-02 01:27:45,0.0028,-0.9692,0.2673,1.22,-2.32,0.24,-1.86,53.94,43.09,side
2023-10-02 01:27:45,0.0042,-0.9684,0.2676,1.04,-2.2,0.18,-1.72,53.47,42.25,side
2023-10-02 01:27:45,0.0042,-0.9696,0.2678,0.98,-2.08,0.24,-2.17,54.52,41.58,side
2023-10-02 01:27:45,0.0034,-0.9691,0.2684,1.1,-2.14,0.12,-2.16,53.64,42.0,side
2023-10-02 01:27:45,0.004,-0.9691,0.2682,0.92,-2.08,0.06,-1.67,53.56,42.55,side
2023-10-02 01:27:45,0.0028,-0.9694,0.2675,1.04,-2.08,0.18,-2.7,54.64,40.91,side
2023-10-02 01:27:45,0.0027,-0.9689,0.2673,0.79,-2.2,0.18,-2.14,54.16,42.7,side
2023-10-02 01:27:45,0.0037,-0.9688,0.2694,1.04,-2.26,0.18,-2.45,53.44,41.88,side
2023-10-02 01:27:45,0.0039,-0.9696,0.2684,0.98,-2.01,0.37,-1.53,52.91,41.72,side
2023-10-02 01:27:45,0.0033,-0.9694,0.2678,0.92,-2.2,0.12,-2.47,53.99,41.74,side
2023-10-02 01:27:46,0.0022,-0.97,0.2683,1.1,-2.26,0.06,-2.08,53.63,42.53,side
2023-10-02 01:27:46,0.0046,-0.9683,0.2701,0.92,-2.01,0.18,-1.67,53.38,41.58,side
2023-10-02 01:27:46,0.0038,-0.97,0.2678,0.85,-1.89,0.12,-2.55,53.71,42.2,side
2023-10-02 01:27:46,0.0035,-0.9683,0.2662,0.85,-2.08,0.12,-2.16,52.77,42.05,side
2023-10-02 01:27:46,0.0044,-0.9691,0.2682,1.04,-2.14,0.12,-2.23,52.98,42.29,side
2023-10-02 01:27:46,0.0039,-0.9688,0.2677,0.73,-2.08,0.24,-2.47,53.61,42.31,side
2023-10-02 01:27:46,0.0037,-0.9679,0.2693,0.73,-2.2,0.06,-2.39,53.87,41.72,side
2023-10-02 01:27:46,0.005,-0.9692,0.2684,0.98,-2.08,0.06,-2.09,53.3,42.0,side
2023-10-02 01:27:46,0.0031,-0.9685,0.2693,0.61,-2.26,0.0,-2.12,53.45,41.76,side
2023-10-02 01:27:47,0.0044,-0.969,0.2682,0.85,-2.08,0.06,-2.51,54.09,42.3,side
2023-10-02 01:27:47,0.004,-0.9685,0.2679,0.92,-2.14,0.18,-2.4,53.67,41.83,side
2023-10-02 01:27:47,0.0024,-0.9692,0.2694,1.04,-2.08,0.18,-2.14,52.99,42.61,side
2023-10-02 01:27:47,0.004,-0.9705,0.2675,0.79,-1.95,0.18,-2.44,53.36,42.47,side
2023-10-02 01:27:47,0.004,-0.9691,0.2689,1.1,-2.14,0.31,-2.58,54.39,41.38,side
2023-10-02 01:27:47,0.0034,-0.969,0.2682,0.92,-2.01,0.0,-2.2,52.71,41.14,side
2023-10-02 01:27:47,0.0038,-0.9688,0.2686,0.98,-2.08,0.24,-1.86,53.42,41.32,side
2023-10-02 01:27:47,0.0032,-0.9689,0.2683,1.1,-2.2,0.24,-2.54,54.49,41.97,side
2023-10-02 01:27:47,0.0035,-0.9691,0.2676,1.1,-2.2,0.24,-2.61,54.31,42.22,side
2023-10-02 01:27:47,0.0046,-0.9695,0.2682,1.04,-2.14,0.12,-2.08,52.72,42.16,side
2023-10-02 01:27:48,0.004,-0.9683,0.2693,1.1,-1.83,0.06,-2.37,53.81,43.05,side
2023-10-02 01:27:48,0.0038,-0.9684,0.2672,0.92,-2.14,0.18,-2.49,54.82,42.09,side
2023-10-02 01:27:48,0.0034,-0.9692,0.2664,0.98,-2.2,0.06,-1.67,53.16,42.59,side
2023-10-02 01:27:48,0.0048,-0.9694,0.2692,1.04,-2.2,0.06,-2.84,53.49,41.71,side
2023-10-02 01:27:48,0.0042,-0.9689,0.2686,0.73,-2.08,0.18,-2.53,54.25,42.16,side
2023-10-02 01:27:48,0.0022,-0.9694,0.269,1.04,-2.14,0.24,-2.29,53.05,41.65,side
2023-10-02 01:27:48,0.0043,-0.9677,0.2697,0.85,-2.01,0.06,-2.61,53.53,41.71,side
2023-10-02 01:27:48,0.0046,-0.9694,0.2579,0.85,-1.95,0.18,-2.12,54.27,41.92,side
2023-10-02 01:27:48,0.0051,-0.9686,0.2701,0.92,-2.26,0.24,-2.03,53.74,42.46,side
2023-10-02 01:27:48,0.0079,-0.969,0.2622,1.1,-2.2,0.24,-2.31,53.56,42.8,side
2023-10-02 01:27:49,-0.0004,-0.9689,0.269,1.16,-2.32,0.24,-2.1,53.48,41.89,side
2023-10-02 01:27:49,0.0027,-0.9694,0.2655,1.04,-2.32,0.12,-2.4,54.36,41.65,side
2023-10-02 01:27:49,0.0077,-0.9698,0.2639,0.85,-2.2,0.12,-2.49,53.77,42.66,side
2023-10-02 01:27:49,0.0016,-0.9673,0.2733,0.79,-1.95,0.12,-2.09,53.86,42.43,side
2023-10-02 01:27:49,0.0045,-0.9692,0.2643,0.98,-2.08,0.18,-2.88,54.46,42.9,side
2023-10-02 01:27:49,0.0043,-0.9679,0.2684,1.04,-2.2,0.24,-2.33,54.05,42.81,side
2023-10-02 01:27:49,0.0043,-0.9692,0.2668,0.98,-2.14,0.31,-2.66,53.67,41.47,side
