Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Posture
2023-10-02 02:22:52,-0.1442,0.3401,0.8489,-0.55,-1.77,-6.29,-9.81,20.95,-7.53,sitting
2023-10-02 02:22:53,-1.0021,-0.0575,-0.1562,0.85,-1.46,0.24,78.71,-43.1,112.01,sitting
2023-10-02 02:22:53,-0.9988,-0.0568,-0.1241,0.85,-1.1,0.55,79.08,-42.36,112.45,sitting
2023-10-02 02:22:53,-1.0005,-0.0607,-0.1254,0.85,-1.16,0.37,78.22,-42.71,112.52,sitting
2023-10-02 02:22:53,-1.0089,-0.0526,-0.1173,0.67,-0.24,0.49,78.2,-43.05,113.22,sitting
2023-10-02 02:22:53,-1.0033,-0.061,-0.1287,0.79,-1.22,0.43,78.67,-42.15,112.15,sitting
2023-10-02 02:22:53,-1.0002,-0.0516,-0.1234,0.55,-1.34,0.12,78.91,-42.49,112.22,sitting
2023-10-02 02:22:53,-0.9999,-0.0613,-0.1227,0.55,-0.92,0.18,78.03,-42.26,112.48,sitting
2023-10-02 02:22:53,-1.0017,-0.054,-0.1279,0.49,-1.71,0.06,78.66,-42.32,111.71,sitting
2023-10-02 02:22:53,-1.0007,-0.0569,-0.1206,0.67,-1.22,0.31,78.33,-42.05,112.9,sitting
2023-10-02 02:22:53,-1.0001,-0.058,-0.132,0.61,-1.71,0.24,77.33,-42.18,112.23,sitting
2023-10-02 02:22:54,-1.0007,-0.0581,-0.1212,0.67,-1.4,0.37,77.76,-42.53,112.76,sitting
2023-10-02 02:22:54,-1.0013,-0.0575,-0.129,0.67,-1.65,0.24,78.8,-41.93,111.69,sitting
2023-10-02 02:22:54,-1.0017,-0.0559,-0.1224,0.73,-1.46,0.24,78.66,-42.08,112.65,sitting
2023-10-02 02:22:54,-1.0005,-0.0573,-0.1273,0.73,-1.65,0.31,78.02,-42.59,112.1,sitting
2023-10-02 02:22:54,-1.0027,-0.057,-0.1257,0.55,-1.53,0.24,78.19,-41.88,113.05,sitting
2023-10-02 02:22:54,-1.0026,-0.0574,-0.1251,0.73,-1.4,0.24,78.6,-42.3,112.11,sitting
2023-10-02 02:22:54,-1.0017,-0.0565,-0.1285,0.61,-1.22,0.24,78.08,-42.54,112.0,sitting
2023-10-02 02:22:54,-1.0013,-0.0583,-0.1246,0.67,-1.16,0.31,77.94,-42.83,112.33,sitting
2023-10-02 02:22:54,-1.0018,-0.057,-0.1272,0.61,-1.28,0.37,78.36,-42.09,112.07,sitting
2023-10-02 02:22:54,-1.0011,-0.057,-0.1246,0.67,-1.4,0.43,77.65,-41.94,112.89,sitting
2023-10-02 02:22:55,-1.0009,-0.0583,-0.1266,0.73,-1.34,0.24,77.62,-42.25,113.32,sitting
2023-10-02 02:22:55,-1.0038,-0.0558,-0.1252,0.55,-1.53,0.18,77.77,-42.44,112.81,sitting
2023-10-02 02:22:55,-1.0015,-0.057,-0.1261,0.61,-1.28,0.31,77.73,-42.54,112.56,sitting
2023-10-02 02:22:55,-1.0034,-0.0573,-0.1256,0.67,-1.22,0.37,77.37,-42.68,113.55,sitting
2023-10-02 02:22:55,-1.0009,-0.0571,-0.125,0.67,-1.53,0.31,78.19,-42.44,113.05,sitting
2023-10-02 02:22:55,-1.0009,-0.0577,-0.1265,0.67,-1.46,0.24,78.02,-42.65,111.9,sitting
2023-10-02 02:22:55,-1.0002,-0.0576,-0.1245,0.73,-1.46,0.24,78.1,-42.55,113.24,sitting
2023-10-02 02:22:55,-1.0026,-0.058,-0.1268,0.49,-1.53,0.12,77.32,-42.18,112.51,sitting
2023-10-02 02:22:55,-1.0012,-0.0577,-0.1254,0.61,-1.16,0.24,77.64,-42.26,112.08,sitting
2023-10-02 02:22:55,-1.0012,-0.0571,-0.127,0.49,-1.46,0.18,77.95,-42.46,113.27,sitting
2023-10-02 02:22:56,-1.0022,-0.0571,-0.1251,0.61,-1.4,0.18,77.43,-42.92,112.74,sitting
2023-10-02 02:22:56,-1.0015,-0.0575,-0.126,0.73,-1.4,0.37,78.14,-42.2,113.46,sitting
2023-10-02 02:22:56,-1.0018,-0.0575,-0.1246,0.67,-1.46,0.37,78.14,-41.97,112.48,sitting
2023-10-02 02:22:56,-1.0017,-0.0573,-0.126,0.67,-1.46,0.31,77.47,-42.19,112.55,sitting
2023-10-02 02:22:56,-1.002,-0.0573,-0.1256,0.73,-1.59,0.43,77.56,-42.37,113.76,sitting
2023-10-02 02:22:56,-1.0011,-0.0581,-0.1252,0.61,-1.59,0.24,77.99,-42.15,112.28,sitting
2023-10-02 02:22:56,-1.0007,-0.0576,-0.1251,0.67,-1.34,0.31,77.66,-42.03,111.21,sitting
2023-10-02 02:22:56,-1.001,-0.0568,-0.1244,0.61,-1.53,0.24,77.76,-41.71,112.18,sitting
2023-10-02 02:22:56,-1.001,-0.058,-0.1263,0.67,-1.53,0.12,78.19,-42.16,112.21,sitting
2023-10-02 02:22:57,-1.0012,-0.0566,-0.1251,0.79,-1.59,0.18,78.7,-42.3,112.9,sitting
2023-10-02 02:22:57,-1.0011,-0.0576,-0.1262,0.61,-1.53,0.24,78.2,-42.25,111.96,sitting
2023-10-02 02:22:57,-1.0023,-0.0564,-0.1254,0.79,-1.46,0.43,77.98,-42.27,112.32,sitting
2023-10-02 02:22:57,-1.0026,-0.0571,-0.127,0.73,-1.46,0.24,78.05,-42.41,112.3,sitting
2023-10-02 02:22:57,-1.0016,-0.0569,-0.1257,0.73,-1.53,0.31,77.86,-42.18,112.01,sitting
2023-10-02 02:22:57,-1.0013,-0.057,-0.1263,0.55,-1.4,0.31,77.69,-42.05,112.68,sitting
2023-10-02 02:22:57,-1.0005,-0.0571,-0.1251,0.67,-1.65,0.18,78.55,-42.35,111.41,sitting
2023-10-02 02:22:57,-1.0033,-0.0565,-0.1254,0.55,-1.59,0.24,77.89,-42.91,112.12,sitting
